Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
88,-1.0887142857142857,88.0,-1.0904285714285715,88.0,-3.699857142857143,88.0,-2.9325714285714284,88.0,-0.2657142857142857,88.0,-0.2192857142857143,88.0,-3.8132857142857146,88.0,-3.2477142857142853
89,-1.0852857142857144,89.0,-1.0815714285714286,89.0,-3.704857142857143,89.0,-2.8362857142857143,89.0,-0.2562857142857143,89.0,-0.2624285714285714,89.0,-3.814142857142857,89.0,-3.146714285714286
90,-1.092857142857143,90.0,-1.0875714285714286,90.0,-3.6994285714285717,90.0,-2.867857142857143,90.0,-0.2207142857142857,90.0,-0.2517142857142857,90.0,-3.8128571428571427,90.0,-3.2222857142857144
91,-1.0897142857142856,91.0,-1.0857142857142856,91.0,-3.7025714285714284,91.0,-2.8322857142857143,91.0,-0.21228571428571427,91.0,-0.21771428571428572,91.0,-3.8147142857142855,91.0,-3.1588571428571433
92,-1.0954285714285714,92.0,-1.0847142857142857,92.0,-3.6994285714285717,92.0,-2.8465714285714285,92.0,-0.17957142857142858,92.0,-0.1992857142857143,92.0,-3.8154285714285714,92.0,-3.2501428571428574
93,-1.0938571428571429,93.0,-1.0781428571428573,93.0,-3.7104285714285714,93.0,-3.046,93.0,-0.17285714285714285,93.0,-0.20042857142857143,93.0,-3.819857142857143,93.0,-3.357714285714286
94,-1.0882857142857143,94.0,-1.0788571428571427,94.0,-3.7072857142857143,94.0,-3.0838571428571426,94.0,-0.21528571428571427,94.0,-0.18642857142857144,94.0,-3.8194285714285714,94.0,-3.372
95,-1.092142857142857,95.0,-1.0858571428571429,95.0,-3.709857142857143,95.0,-2.985285714285714,95.0,-0.17300000000000001,95.0,-0.19214285714285714,95.0,-3.8215714285714286,95.0,-3.31
96,-1.0878571428571429,96.0,-1.0887142857142857,96.0,-3.705714285714286,96.0,-2.9924285714285714,96.0,-0.17300000000000001,96.0,-0.16157142857142856,96.0,-3.821,96.0,-3.3201428571428573
97,-1.0892857142857142,97.0,-1.0891428571428572,97.0,-3.7178571428571425,97.0,-2.927285714285714,97.0,-0.16685714285714284,97.0,-0.17642857142857143,97.0,-3.8258571428571426,97.0,-3.2601428571428572
98,-1.0885714285714285,98.0,-1.0895714285714286,98.0,-3.7128571428571426,98.0,-3.024857142857143,98.0,-0.17142857142857143,98.0,-0.16285714285714284,98.0,-3.8237142857142854,98.0,-3.338714285714286
99,-1.0894285714285714,99.0,-1.0892857142857142,99.0,-3.718857142857143,99.0,-2.911714285714286,99.0,-0.17857142857142858,99.0,-0.1602857142857143,99.0,-3.824857142857143,99.0,-3.239142857142857
