HumNoise SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,HumNoise SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
66,0.8408333333333333,66.0,0.84,66.0,0.2558333333333333,66.0,0.7308333333333333,66.0,0.9500000000000001,66.0,0.9175,66.0,0.25416666666666665,66.0,0.7658333333333333
67,0.84,67.0,0.84,67.0,0.25166666666666665,67.0,0.7383333333333333,67.0,0.9508333333333333,67.0,0.92,67.0,0.25166666666666665,67.0,0.7683333333333334
68,0.84,68.0,0.8383333333333334,68.0,0.2508333333333333,68.0,0.7383333333333333,68.0,0.9525,68.0,0.9225,68.0,0.24916666666666668,68.0,0.7675000000000001
69,0.84,69.0,0.8391666666666667,69.0,0.25,69.0,0.7275,69.0,0.9525,69.0,0.9266666666666667,69.0,0.24833333333333332,69.0,0.7558333333333334
70,0.8416666666666667,70.0,0.8391666666666667,70.0,0.24749999999999997,70.0,0.7216666666666667,70.0,0.9541666666666666,70.0,0.9291666666666667,70.0,0.24666666666666667,70.0,0.7508333333333334
71,0.8408333333333333,71.0,0.84,71.0,0.24666666666666667,71.0,0.7233333333333333,71.0,0.955,71.0,0.9333333333333332,71.0,0.245,71.0,0.75
72,0.8416666666666667,72.0,0.8391666666666667,72.0,0.24583333333333335,72.0,0.7283333333333334,72.0,0.955,72.0,0.935,72.0,0.245,72.0,0.7575
73,0.84,73.0,0.8383333333333334,73.0,0.24333333333333332,73.0,0.7233333333333333,73.0,0.955,73.0,0.9366666666666666,73.0,0.24333333333333332,73.0,0.7491666666666666
74,0.8391666666666667,74.0,0.8391666666666667,74.0,0.24333333333333332,74.0,0.7216666666666667,74.0,0.9558333333333332,74.0,0.9391666666666666,74.0,0.24250000000000002,74.0,0.7466666666666667
75,0.8416666666666667,75.0,0.8416666666666667,75.0,0.24166666666666667,75.0,0.7216666666666667,75.0,0.9558333333333332,75.0,0.9433333333333334,75.0,0.24083333333333334,75.0,0.7508333333333334
76,0.84,76.0,0.8391666666666667,76.0,0.24,76.0,0.7283333333333334,76.0,0.9558333333333332,76.0,0.9474999999999999,76.0,0.23916666666666667,76.0,0.7541666666666668
77,0.84,77.0,0.8383333333333334,77.0,0.2383333333333333,77.0,0.7258333333333334,77.0,0.9583333333333334,77.0,0.9474999999999999,77.0,0.2383333333333333,77.0,0.75
78,0.8416666666666667,78.0,0.8383333333333334,78.0,0.23750000000000002,78.0,0.7208333333333333,78.0,0.9583333333333334,78.0,0.9500000000000001,78.0,0.23750000000000002,78.0,0.745
79,0.8391666666666667,79.0,0.8391666666666667,79.0,0.235,79.0,0.7200000000000001,79.0,0.96,79.0,0.9483333333333333,79.0,0.23416666666666666,79.0,0.745
80,0.8416666666666667,80.0,0.8391666666666667,80.0,0.2333333333333333,80.0,0.7183333333333333,80.0,0.9608333333333333,80.0,0.9516666666666667,80.0,0.23416666666666666,80.0,0.7425
81,0.8408333333333333,81.0,0.8408333333333333,81.0,0.2333333333333333,81.0,0.7166666666666667,81.0,0.9608333333333333,81.0,0.9558333333333332,81.0,0.23416666666666666,81.0,0.7408333333333333
82,0.8416666666666667,82.0,0.8383333333333334,82.0,0.2316666666666667,82.0,0.725,82.0,0.9608333333333333,82.0,0.9558333333333332,82.0,0.2325,82.0,0.7491666666666666
83,0.8391666666666667,83.0,0.84,83.0,0.2316666666666667,83.0,0.7158333333333333,83.0,0.96,83.0,0.955,83.0,0.2325,83.0,0.735
84,0.8408333333333333,84.0,0.8383333333333334,84.0,0.22999999999999998,84.0,0.7183333333333333,84.0,0.9624999999999999,84.0,0.9575,84.0,0.23166666666666666,84.0,0.7433333333333333
85,0.8416666666666667,85.0,0.8391666666666667,85.0,0.22916666666666666,85.0,0.7125,85.0,0.9591666666666666,85.0,0.9608333333333333,85.0,0.23,85.0,0.7341666666666667
86,0.8408333333333333,86.0,0.8383333333333334,86.0,0.2275,86.0,0.7158333333333333,86.0,0.96,86.0,0.96,86.0,0.22833333333333336,86.0,0.7341666666666667
87,0.8416666666666667,87.0,0.8391666666666667,87.0,0.22666666666666668,87.0,0.7141666666666667,87.0,0.9591666666666666,87.0,0.96,87.0,0.22666666666666668,87.0,0.7366666666666667
88,0.8408333333333333,88.0,0.84,88.0,0.22666666666666668,88.0,0.7116666666666666,88.0,0.96,88.0,0.9616666666666666,88.0,0.22583333333333333,88.0,0.7316666666666666
89,0.8391666666666667,89.0,0.8408333333333333,89.0,0.22583333333333333,89.0,0.705,89.0,0.9608333333333333,89.0,0.9641666666666667,89.0,0.22583333333333333,89.0,0.7208333333333333
90,0.8408333333333333,90.0,0.8383333333333334,90.0,0.225,90.0,0.7116666666666666,90.0,0.9633333333333333,90.0,0.9624999999999999,90.0,0.22583333333333333,90.0,0.7324999999999999
91,0.8391666666666667,91.0,0.84,91.0,0.22416666666666665,91.0,0.7041666666666666,91.0,0.9624999999999999,91.0,0.9658333333333333,91.0,0.22583333333333333,91.0,0.7233333333333333
92,0.8391666666666667,92.0,0.8408333333333333,92.0,0.2225,92.0,0.7050000000000001,92.0,0.9641666666666667,92.0,0.9624999999999999,92.0,0.225,92.0,0.7225
93,0.8391666666666667,93.0,0.8408333333333333,93.0,0.2225,93.0,0.7008333333333333,93.0,0.9658333333333333,93.0,0.9658333333333333,93.0,0.22416666666666665,93.0,0.7166666666666667
94,0.84,94.0,0.8391666666666667,94.0,0.22083333333333333,94.0,0.7058333333333334,94.0,0.965,94.0,0.9674999999999999,94.0,0.22416666666666665,94.0,0.725
95,0.84,95.0,0.84,95.0,0.22083333333333333,95.0,0.6983333333333334,95.0,0.9666666666666667,95.0,0.9666666666666667,95.0,0.2225,95.0,0.7141666666666667
96,0.8408333333333333,96.0,0.8391666666666667,96.0,0.22083333333333333,96.0,0.695,96.0,0.9666666666666667,96.0,0.9700000000000001,96.0,0.22,96.0,0.715
97,0.8391666666666667,97.0,0.8408333333333333,97.0,0.21833333333333335,97.0,0.6983333333333333,97.0,0.9691666666666666,97.0,0.9708333333333333,97.0,0.21916666666666665,97.0,0.7133333333333334
98,0.84,98.0,0.84,98.0,0.21666666666666667,98.0,0.6983333333333334,98.0,0.9674999999999999,98.0,0.9683333333333333,98.0,0.21833333333333335,98.0,0.7158333333333333
99,0.8391666666666667,99.0,0.8408333333333333,99.0,0.2175,99.0,0.6974999999999999,99.0,0.9683333333333333,99.0,0.9700000000000001,99.0,0.21916666666666665,99.0,0.7174999999999999
